blocked_count,wait_time_growth,edge_count,graph_density,is_deadlock_imminent
0,0.0,1,0.000248015873015873,0
0,0.03189021846893834,5,0.001240079365079365,0
0,0.02790412922001377,4,0.000992063492063492,0
0,0.10105152848065264,4,0.000992063492063492,0
0,0.0,3,0.000744047619047619,0
0,0.0,2,0.000496031746031746,0
0,0.0,9,0.002232142857142857,0
0,0.09503696823969032,2,0.000496031746031746,0
0,0.0,10,0.00248015873015873,0
0,0.0,7,0.001736111111111111,0
0,0.0,1,0.000248015873015873,0
0,0.05977204669126083,1,0.000248015873015873,0
0,0.012221916522267957,2,0.000496031746031746,0
0,0.0,4,0.000992063492063492,0
0,0.0,4,0.000992063492063492,0
0,0.09474398210466389,9,0.002232142857142857,0
0,0.0,10,0.00248015873015873,0
0,0.0,1,0.000248015873015873,0
0,0.0,9,0.002232142857142857,0
0,0.03893489132561233,4,0.000992063492063492,0
0,0.27783130415524404,9,0.002232142857142857,0
0,0.11936397242823174,7,0.001736111111111111,0
1,0.07384665799954104,4,0.000992063492063492,0
0,0.01713682811899705,8,0.001984126984126984,0
0,0.0,10,0.00248015873015873,0
0,0.0,5,0.001240079365079365,0
0,0.0,1,0.000248015873015873,0
0,0.10571222262189157,3,0.000744047619047619,0
0,0.0324083969394795,7,0.001736111111111111,0
0,0.0,6,0.001488095238095238,0
1,0.05821227947130392,5,0.001240079365079365,0
0,0.08877484595933573,3,0.000744047619047619,0
0,0.0,4,0.000992063492063492,0
0,0.0,6,0.001488095238095238,0
1,0.0,2,0.000496031746031746,0
0,0.0,2,0.000496031746031746,0
0,0.08125258223941981,7,0.001736111111111111,0
1,0.1356240028570823,2,0.000496031746031746,0
0,0.09729635337557875,6,0.001488095238095238,0
0,0.07955954638959417,6,0.001488095238095238,0
0,0.3372296253626673,1,0.000248015873015873,0
0,0.0,8,0.001984126984126984,0
0,0.0,9,0.002232142857142857,0
0,0.10424916173394211,2,0.000496031746031746,0
1,0.14778940447415162,7,0.001736111111111111,0
0,0.0,2,0.000496031746031746,0
0,0.0,9,0.002232142857142857,0
1,0.0,5,0.001240079365079365,0
0,0.02571168700562794,6,0.001488095238095238,0
0,0.031451289586317176,4,0.000992063492063492,0
1,0.0,2,0.000496031746031746,0
0,0.0,1,0.000248015873015873,0
0,0.029612027706457607,4,0.000992063492063492,0
0,0.026105527217988936,5,0.001240079365079365,0
0,0.0,2,0.000496031746031746,0
0,0.0,4,0.000992063492063492,0
0,0.0,2,0.000496031746031746,0
0,0.040405085681453845,7,0.001736111111111111,0
0,0.02575503907227644,5,0.001240079365079365,0
1,0.0,8,0.001984126984126984,0
0,0.0,6,0.001488095238095238,0
0,0.0,3,0.000744047619047619,0
0,0.0,6,0.001488095238095238,0
0,0.0003937304431402774,6,0.001488095238095238,0
1,0.0,4,0.000992063492063492,0
1,0.0,5,0.001240079365079365,0
0,0.0,2,0.000496031746031746,0
0,0.07731408558892489,3,0.000744047619047619,0
0,0.1405205305878188,9,0.002232142857142857,0
0,0.13923257534919029,4,0.000992063492063492,0
0,0.0,3,0.000744047619047619,0
0,0.0923162608341953,8,0.001984126984126984,0
0,0.17066049536784622,7,0.001736111111111111,0
0,0.08735894156353792,5,0.001240079365079365,0
0,0.06490867326291062,9,0.002232142857142857,0
0,0.0,4,0.000992063492063492,0
0,0.062054821596173516,6,0.001488095238095238,0
0,0.0,1,0.000248015873015873,0
0,0.0,4,0.000992063492063492,0
0,0.05561217985339653,1,0.000248015873015873,0
0,0.13638865244171053,3,0.000744047619047619,0
0,0.25391627162693325,1,0.000248015873015873,0
0,0.0,2,0.000496031746031746,0
0,0.11907272561136402,5,0.001240079365079365,0
0,0.0617640845511145,6,0.001488095238095238,0
0,0.12170707969801103,3,0.000744047619047619,0
0,0.022628826949887482,2,0.000496031746031746,0
0,0.08474014325766388,6,0.001488095238095238,0
0,0.017483301199147133,4,0.000992063492063492,0
0,0.0,4,0.000992063492063492,0
0,0.07345010648800457,6,0.001488095238095238,0
0,0.0,4,0.000992063492063492,0
0,0.07699773599307935,2,0.000496031746031746,0
1,0.12683895224039018,3,0.000744047619047619,0
0,0.0,2,0.000496031746031746,0
0,0.0,2,0.000496031746031746,0
0,0.0,6,0.001488095238095238,0
1,0.03411519748166439,5,0.001240079365079365,0
0,0.2734422159061742,5,0.001240079365079365,0
0,0.009376543015194676,3,0.000744047619047619,0
0,0.0,6,0.001488095238095238,0
0,0.09771800008130732,5,0.001240079365079365,0
0,0.0,4,0.000992063492063492,0
2,0.07403408179477386,5,0.001240079365079365,0
0,0.1045571168346317,4,0.000992063492063492,0
0,0.0,3,0.000744047619047619,0
0,0.07101092403639536,2,0.000496031746031746,0
0,0.009247887155109701,2,0.000496031746031746,0
0,0.023095372294513288,5,0.001240079365079365,0
1,0.0,4,0.000992063492063492,0
0,0.03577873603482833,1,0.000248015873015873,0
0,0.05607845263682344,7,0.001736111111111111,0
0,0.0,1,0.000248015873015873,0
0,0.0,7,0.001736111111111111,0
0,0.0515047686306048,1,0.000248015873015873,0
0,0.38527314906547216,2,0.000496031746031746,0
0,0.09540017634932024,6,0.001488095238095238,0
1,0.0651391251305798,2,0.000496031746031746,0
0,0.016502279810933853,7,0.001736111111111111,0
0,0.0,6,0.001488095238095238,0
0,0.0,2,0.000496031746031746,0
0,0.03573045419366339,7,0.001736111111111111,0
0,0.0,7,0.001736111111111111,0
0,0.0,8,0.001984126984126984,0
0,0.05495763450626673,5,0.001240079365079365,0
0,0.0,1,0.000248015873015873,0
0,0.23890359573924624,2,0.000496031746031746,0
0,0.18434137583205334,5,0.001240079365079365,0
0,0.0015143278259864288,6,0.001488095238095238,0
0,0.04420740168667314,2,0.000496031746031746,0
0,0.0,5,0.001240079365079365,0
0,0.0,7,0.001736111111111111,0
0,0.0,3,0.000744047619047619,0
0,0.16613017306081543,8,0.001984126984126984,0
0,0.03177670324371186,1,0.000248015873015873,0
0,0.0,5,0.001240079365079365,0
0,0.03772962654604092,3,0.000744047619047619,0
0,0.165135098647949,2,0.000496031746031746,0
0,0.0,5,0.001240079365079365,0
0,0.0,4,0.000992063492063492,0
